Test 60, loss: 0.051691, test acc: 0.984521, test avg acc: 0.985572, test iou: 0.970416
Train 61, loss: 0.052395, train acc: 0.979578, train avg acc: 0.975459, train iou: 0.954769
Test 61, loss: 0.047393, test acc: 0.984546, test avg acc: 0.985497, test iou: 0.970057
Train 62, loss: 0.051945, train acc: 0.979779, train avg acc: 0.975809, train iou: 0.955204
Test 62, loss: 0.047485, test acc: 0.985718, test avg acc: 0.986738, test iou: 0.972608
Train 63, loss: 0.055254, train acc: 0.978510, train avg acc: 0.974310, train iou: 0.952671
Test 63, loss: 0.047105, test acc: 0.985083, test avg acc: 0.985528, test iou: 0.971130
Train 64, loss: 0.052511, train acc: 0.979588, train avg acc: 0.975637, train iou: 0.954916
Test 64, loss: 0.050484, test acc: 0.983667, test avg acc: 0.983891, test iou: 0.969033
Train 65, loss: 0.053553, train acc: 0.979224, train avg acc: 0.975107, train iou: 0.954010
Test 65, loss: 0.050197, test acc: 0.983691, test avg acc: 0.983872, test iou: 0.968451
Train 66, loss: 0.055574, train acc: 0.978545, train avg acc: 0.974185, train iou: 0.952226
Test 66, loss: 0.047958, test acc: 0.984180, test avg acc: 0.984214, test iou: 0.969417
Train 67, loss: 0.050990, train acc: 0.980205, train avg acc: 0.976185, train iou: 0.956080
Test 67, loss: 0.049795, test acc: 0.984058, test avg acc: 0.984213, test iou: 0.969338
Train 68, loss: 0.051624, train acc: 0.979869, train avg acc: 0.975903, train iou: 0.955480
Test 68, loss: 0.068682, test acc: 0.980396, test avg acc: 0.979312, test iou: 0.963132
Train 69, loss: 0.051863, train acc: 0.979909, train avg acc: 0.975833, train iou: 0.955241
Test 69, loss: 0.047225, test acc: 0.984717, test avg acc: 0.985057, test iou: 0.970637
Train 70, loss: 0.050683, train acc: 0.980283, train avg acc: 0.976321, train iou: 0.956268
Test 70, loss: 0.046587, test acc: 0.985376, test avg acc: 0.985925, test iou: 0.971617
Train 71, loss: 0.051930, train acc: 0.979802, train avg acc: 0.975812, train iou: 0.955288
Test 71, loss: 0.048501, test acc: 0.984888, test avg acc: 0.985294, test iou: 0.970303
Train 72, loss: 0.050780, train acc: 0.980288, train avg acc: 0.976358, train iou: 0.956323
Test 72, loss: 0.051260, test acc: 0.983984, test avg acc: 0.983932, test iou: 0.969320
Train 73, loss: 0.053294, train acc: 0.979338, train avg acc: 0.975056, train iou: 0.953808
Test 73, loss: 0.056168, test acc: 0.982007, test avg acc: 0.981732, test iou: 0.965942
Train 74, loss: 0.052006, train acc: 0.979780, train avg acc: 0.975707, train iou: 0.955116
Test 74, loss: 0.047962, test acc: 0.984570, test avg acc: 0.984678, test iou: 0.970540
Train 75, loss: 0.050883, train acc: 0.980201, train avg acc: 0.976316, train iou: 0.956123
Test 75, loss: 0.050691, test acc: 0.984717, test avg acc: 0.984804, test iou: 0.970385
Train 76, loss: 0.050277, train acc: 0.980448, train avg acc: 0.976559, train iou: 0.956603
Test 76, loss: 0.048177, test acc: 0.984985, test avg acc: 0.985349, test iou: 0.970982
Train 77, loss: 0.049358, train acc: 0.980752, train avg acc: 0.976914, train iou: 0.957196
Test 77, loss: 0.056382, test acc: 0.982056, test avg acc: 0.979986, test iou: 0.964108
Train 78, loss: 0.051320, train acc: 0.979975, train avg acc: 0.976147, train iou: 0.955781
Test 78, loss: 0.053463, test acc: 0.983008, test avg acc: 0.982564, test iou: 0.967425
Train 79, loss: 0.051541, train acc: 0.979912, train avg acc: 0.976069, train iou: 0.955540
Test 79, loss: 0.059195, test acc: 0.982349, test avg acc: 0.980837, test iou: 0.965953
Train 80, loss: 0.050305, train acc: 0.980424, train avg acc: 0.976502, train iou: 0.956551
Test 80, loss: 0.045058, test acc: 0.986255, test avg acc: 0.986427, test iou: 0.973089
Train 81, loss: 0.049462, train acc: 0.980682, train avg acc: 0.976894, train iou: 0.957077
Test 81, loss: 0.052545, test acc: 0.983813, test avg acc: 0.983499, test iou: 0.968879
Train 82, loss: 0.054555, train acc: 0.978968, train avg acc: 0.974904, train iou: 0.953463
Test 82, loss: 0.044272, test acc: 0.985596, test avg acc: 0.985701, test iou: 0.972080
Train 83, loss: 0.050104, train acc: 0.980402, train avg acc: 0.976617, train iou: 0.956587
Test 83, loss: 0.048007, test acc: 0.985205, test avg acc: 0.985852, test iou: 0.971548
Train 84, loss: 0.048199, train acc: 0.981213, train avg acc: 0.977450, train iou: 0.958242
Test 84, loss: 0.044583, test acc: 0.985400, test avg acc: 0.985925, test iou: 0.971980
Train 85, loss: 0.050198, train acc: 0.980463, train avg acc: 0.976523, train iou: 0.956557
Test 85, loss: 0.046467, test acc: 0.983960, test avg acc: 0.983756, test iou: 0.969567
Train 86, loss: 0.049739, train acc: 0.980629, train avg acc: 0.976880, train iou: 0.957116
Test 86, loss: 0.049235, test acc: 0.983496, test avg acc: 0.982230, test iou: 0.967477
Train 87, loss: 0.049143, train acc: 0.980891, train avg acc: 0.977097, train iou: 0.957564
Test 87, loss: 0.053946, test acc: 0.984888, test avg acc: 0.985814, test iou: 0.970726
Train 88, loss: 0.049238, train acc: 0.980750, train avg acc: 0.977074, train iou: 0.957394
Test 88, loss: 0.050582, test acc: 0.983691, test avg acc: 0.983628, test iou: 0.968830
Train 89, loss: 0.048865, train acc: 0.980933, train avg acc: 0.977232, train iou: 0.957709
Test 89, loss: 0.044635, test acc: 0.985791, test avg acc: 0.986198, test iou: 0.972512
Train 90, loss: 0.058050, train acc: 0.977735, train avg acc: 0.973147, train iou: 0.950129
Test 90, loss: 0.048743, test acc: 0.984448, test avg acc: 0.984486, test iou: 0.969984
Train 91, loss: 0.049470, train acc: 0.980634, train avg acc: 0.976897, train iou: 0.957164
Test 91, loss: 0.049553, test acc: 0.984644, test avg acc: 0.984115, test iou: 0.970346
Train 92, loss: 0.048070, train acc: 0.981248, train avg acc: 0.977461, train iou: 0.958232
Test 92, loss: 0.047508, test acc: 0.984814, test avg acc: 0.984792, test iou: 0.970656
Train 93, loss: 0.047810, train acc: 0.981379, train avg acc: 0.977630, train iou: 0.958422
Test 93, loss: 0.046853, test acc: 0.986060, test avg acc: 0.986843, test iou: 0.973097
Train 94, loss: 0.048061, train acc: 0.981238, train avg acc: 0.977586, train iou: 0.958332
Test 94, loss: 0.047346, test acc: 0.984814, test avg acc: 0.985036, test iou: 0.970894
Train 95, loss: 0.048517, train acc: 0.981133, train avg acc: 0.977343, train iou: 0.957825
Test 95, loss: 0.051895, test acc: 0.984937, test avg acc: 0.986155, test iou: 0.970889
Train 96, loss: 0.046473, train acc: 0.981892, train avg acc: 0.978218, train iou: 0.959584
Test 96, loss: 0.046663, test acc: 0.985181, test avg acc: 0.985927, test iou: 0.971608
Train 97, loss: 0.048914, train acc: 0.981033, train avg acc: 0.977366, train iou: 0.957890
Test 97, loss: 0.058336, test acc: 0.982446, test avg acc: 0.981059, test iou: 0.966138
Train 98, loss: 0.047912, train acc: 0.981423, train avg acc: 0.977595, train iou: 0.958478
Test 98, loss: 0.046508, test acc: 0.984692, test avg acc: 0.984635, test iou: 0.970641
Train 99, loss: 0.046782, train acc: 0.981747, train avg acc: 0.978149, train iou: 0.959368
Test 99, loss: 0.055477, test acc: 0.984155, test avg acc: 0.985304, test iou: 0.968988
